Species;Distribution;mu;nu;ALIA;SD;NR;Date
Acacia dealbata;uniform;1.27;1.06;40.9;24.53;283;15/06/17
Acer burgerianum;erectophile;2.33;5.64;63.72;13.67;115;23/06/17
Acer campestre;plagiophile;3.51;4.4;50.07;14.98;75;11/10/11
Acer griseum;planophile;2.09;1.24;33.56;20.92;80;11/10/11
Acer miyabei;plagiophile;3.72;3.71;44.9;15.5;80;11/10/11
Acer monspessulanum;planophile;4.21;1.21;20.11;14.8;105;08/06/17
Acer negundo;erectophile;1.68;3.26;59.41;17.49;114;16/06/17
Acer platanoides;planophile;4.23;1.38;22.1;15.07;296;01/08/13
Acer platanoides;plagiophile;3.02;2.57;41.37;17.47;100;11/10/11
Acer platanoides;planophile;4.12;1.69;26.2;15.67;300;13/09/13
Acer platanoides;planophile;4.55;1.45;21.77;14.57;277;14/06/13
Acer platanoides;planophile;3.71;2.09;32.38;16.56;281;15/05/13
Acer pseudoplatanus;planophile;3.44;2.07;33.81;17.09;102;23/06/17
Acer rubrum;planophile;3.66;1.88;30.58;16.67;201;02/09/11
Acer rubrum;planophile;6.13;2.03;22.39;12.85;200;05/07/11
Acer rubrum;planophile;4.46;2.08;28.64;15.26;200;11/08/11
Acer rubrum;planophile;5.62;2.96;31.04;13.82;200;14/06/11
Acer rubrum;plagiophile;3.38;2.59;39.09;16.89;200;17/05/11
Acer truncatum;planophile;4.25;1.1;18.52;14.44;138;23/06/17
Aesculus hippocastanum;plagiophile;3.38;2.65;39.58;16.85;300;05/09/13
Aesculus hippocastanum;plagiophile;3.82;2.47;35.34;16.29;300;11/08/13
Aesculus hippocastanum;planophile;4.71;2.31;29.64;14.93;300;13/06/13
Aesculus hippocastanum;plagiophile;3.88;2.85;38.1;15.99;300;16/05/13
Ailanthus altissima;planophile;4.15;1.19;20.01;14.86;110;16/06/17
Alnus cordata;planophile;1.86;1.13;34.09;21.86;168;23/06/17
Alnus glutinosa;spherical;1.58;2.1;51.26;20.6;80;11/10/11
Alnus incana;planophile;2.32;1.48;35.09;20.03;277;05/09/13
Alnus incana;planophile;3.82;1.31;22.94;15.85;150;10/08/11
Alnus incana;planophile;2.29;1.23;31.47;20.19;290;11/08/13
Alnus incana;planophile;2.44;1.05;27.03;19.47;284;13/06/13
Alnus incana;planophile;2.42;0.89;24.2;19.23;268;17/05/13
Alnus viridis subsp. sinuata;planophile;3.38;1.63;29.23;17.19;80;11/10/11
Alnus viridis;planophile;3.07;1.42;28.4;17.85;81;11/10/11
Amorpha fruticosa;uniform;1.16;0.67;32.99;25.81;199;23/06/17
Arbutus unedo;planophile;3.34;1.25;24.57;16.96;138;06/06/17
Arundo donax;uniform;1.01;1.04;45.68;25.74;102;16/06/17
Berberis aristata;uniform;1.86;1.74;43.46;20.96;85;11/10/11
Betula alleghaniensis;planophile;7.29;2.04;19.65;11.57;200;02/09/11
Betula alleghaniensis;planophile;6.61;2.35;23.63;12.54;200;05/07/11
Betula alleghaniensis;planophile;5.51;2.26;26.18;13.8;200;11/08/11
Betula alleghaniensis;planophile;8.25;2.47;20.75;11.07;200;14/06/11
