"Filename"	"Sx"	"Sy"	"Sz"	"Tx"	"Ty"	"Tz"	"Nx"	"Ny"	"Nz"	"Ix"	"Iy"	"Iz"	"Vx"	"Vy"	"Vz"
"lalpn103.12b"	2580	1060	60.31	1360	2660	-78.4	3800	2660	-132.68	2580	4260	126.65	2180	2820	-542.77
"lalp0103.12b"	2580	1060	78.01	1360	2660	39	3800	2660	-208.02	2580	4260	110.51	2860	2400	-585.04
"lalcn103.12b"	2540	1180	84.36	1500	2460	-72.31	3580	2460	-210.91	2540	3740	114.5	3100	2880	-403.75
"lalc0103.12b"	2540	1180	-5.79	1500	2460	-144.63	3580	2460	-237.19	2540	3740	75.21	2960	2820	-480.17
"laldn103.12b"	2620	700	46.32	1440	2500	30.88	3800	2500	-108.09	2620	4300	101.24	2960	2380	-339.7
"lald0103.12b"	2480	800	-37.89	1280	2500	-86.61	3680	2500	-162.4	2480	4200	108.27	2720	2460	-552.16
"lalen103.12b"	2480	900	5.88	1180	2560	-23.52	3780	2560	-146.97	2480	4220	229.27	2900	2220	-388
"lale0103.12b"	2540	900	53.55	1220	2520	-119.01	3860	2520	-53.55	2540	4140	208.27	2080	2500	-636.7
"lalfn103.12b"	2640	880	-8.97	1260	2640	-71.72	4020	2640	-35.86	2640	4400	53.79	2080	3220	-421.36
"lalf0103.12b"	2640	880	5.67	1260	2640	-39.69	4020	2640	-136.09	2640	4400	90.73	2820	2540	-487.65
"lalgn103.12b"	2520	1060	23.05	1280	2560	-17.29	3760	2560	-149.84	2520	4060	201.71	2920	2720	-438
"lalg0103.12b"	2520	1060	-123.44	1280	2560	-101.97	3760	2560	-161.01	2520	4060	53.67	2760	2920	-558.16
"lalin103.12b"	2620	840	140.08	1320	2680	-170.53	3920	2680	-146.17	2620	4520	158.35	2820	2660	-347.15
"lali0103.12b"	2580	620	26.64	1280	2380	-154.49	3880	2380	-111.87	2580	4140	159.81	3020	2420	-447.48
"laljn103.12b"	2760	960	296.99	1600	2580	-77.22	3920	2580	-65.34	2760	4200	160.37	2480	2700	-497.8
"lalj0103.12b"	2720	1020	208.38	1520	2620	-191.02	3920	2620	-81.04	2720	4220	28.94	NA	NA	NA
"lalkn103.17b"	2580	840	126.64	1320	2460	-143.16	3840	2460	-99.11	2580	4080	137.66	2340	2240	-390.95
"lalk0103.12b"	2580	840	-32.91	1320	2460	-98.73	3840	2460	-142.61	2580	4080	142.61	2300	2260	-422.34
"lalln103.12b"	2560	1000	71.99	1420	2580	-95.99	3700	2580	-185.98	2560	4160	233.97	2680	2900	-419.95
"lall0103.12b"	2560	1000	119.73	1420	2580	-125.17	3700	2580	-163.26	2560	4160	250.34	2800	2600	-353.74
"lalnn103.12b"	2540	860	65.71	1220	2540	-175.24	3860	2540	-147.86	2540	4220	93.1	2960	3220	-498.33
"laln0103.12b"	2540	860	53.71	1220	2540	-102.05	3860	2540	-139.64	2540	4220	134.27	2860	2700	-386.7
"lalon103.12b"	2620	1120	49.15	1420	2600	-24.57	3820	2600	-147.44	2620	4080	141.3	2940	2920	-681.91
"lalo0103.12b"	2620	1120	95.55	1420	2600	106.16	3820	2600	-159.24	2620	4080	196.4	2900	2220	-642.28
